2025-10-16 00:15:44 | INFO     | BaseScraper:_resolve_redirect:809 |    - [Redirect] 2. Decoded link: https://campaign2.naver.com/npay/v2/click-point/?eventId=cr_shoppinglive_251015_1129
2025-10-16 00:15:45 | INFO     | BaseScraper:_resolve_redirect:824 |    - [Redirect] 3. Final resolved URL: https://nid.naver.com/nidlogin.login?svctype=0&url=https%3A%2F%2Fcampaign2.naver.com%2Fnpay%2Fv2%2Fclick-point%2F%3FeventId%3Dcr_shoppinglive_251015_1129
2025-10-16 00:15:48 | INFO     | BaseScraper:_infer_shop_name_from_link:507 |  - Inferring shop name from domain: nid.naver.com
2025-10-16 00:15:48 | INFO     | BaseScraper:_infer_shop_name_from_link:570 |  - No matching shop found for domain: nid.naver.com
2025-10-16 00:15:48 | INFO     | BaseScraper:_process_detail_pages:727 |     [Deal 2] AI Product: 네이버 추가 적립 이벤트 (251015)
2025-10-16 00:15:48 | INFO     | BaseScraper:_resolve_redirect:803 |    - [Redirect] 1. AI raw link: https://campaign2.naver.com/npay/v2/click-point/?eventId=cr_shoppinglive_251015_1725
2025-10-16 00:15:48 | INFO     | BaseScraper:_resolve_redirect:809 |    - [Redirect] 2. Decoded link: https://campaign2.naver.com/npay/v2/click-point/?eventId=cr_shoppinglive_251015_1725
2025-10-16 00:15:49 | INFO     | BaseScraper:_resolve_redirect:824 |    - [Redirect] 3. Final resolved URL: https://nid.naver.com/nidlogin.login?svctype=0&url=https%3A%2F%2Fcampaign2.naver.com%2Fnpay%2Fv2%2Fclick-point%2F%3FeventId%3Dcr_shoppinglive_251015_1725
2025-10-16 00:15:49 | INFO     | BaseScraper:_infer_shop_name_from_link:507 |  - Inferring shop name from domain: nid.naver.com
2025-10-16 00:15:49 | INFO     | BaseScraper:_infer_shop_name_from_link:570 |  - No matching shop found for domain: nid.naver.com
2025-10-16 00:15:49 | INFO     | BaseScraper:_process_detail_pages:664 | Processing post_link: https://www.clien.net/service/board/jirum/19078435?od=T31&po=0&category=0&groupCd=
2025-10-16 00:15:49 | INFO     | BaseScraper:_process_detail_pages:667 | Processing deal: 신지모루 악세서리 할인행사입니다...
2025-10-16 00:15:52 | WARNING  | BaseScraper:_process_detail_pages:682 | 지정된 콘텐츠 선택자를 찾지 못했습니다. body 전체를 사용합니다: https://www.clien.net/service/board/jirum/19078435?od=T31&po=0&category=0&groupCd=
2025-10-16 00:15:55 | INFO     | BaseScraper:_process_detail_pages:704 |   [AI Multi-Deal Analysis] Found 1 deals.
2025-10-16 00:15:55 | INFO     | BaseScraper:_process_detail_pages:720 |   [Image Debug] Post Representative Image: https://edgio.clien.net/F01/15571798/e996e5ca6c817.png?scale=width:740
2025-10-16 00:15:55 | INFO     | BaseScraper:_process_detail_pages:727 |     [Deal 1] AI Product: 신지모루 악세서리 할인행사
2025-10-16 00:15:55 | INFO     | BaseScraper:_resolve_redirect:803 |    - [Redirect] 1. AI raw link: https://naver.me/5En4wwzC
2025-10-16 00:15:55 | INFO     | BaseScraper:_resolve_redirect:809 |    - [Redirect] 2. Decoded link: https://naver.me/5En4wwzC
2025-10-16 00:15:56 | INFO     | BaseScraper:_resolve_redirect:824 |    - [Redirect] 3. Final resolved URL: https://nid.naver.com/nidlogin.login?svctype=64&url=https%3A%2F%2Ftalk.naver.com%2Fct%2Fwx5yeyp%3FsharedMktMsg%3D2908010%26resizeTo%3D1904%2C1070nidref%3D
2025-10-16 00:15:59 | INFO     | BaseScraper:_infer_shop_name_from_link:507 |  - Inferring shop name from domain: nid.naver.com
2025-10-16 00:15:59 | INFO     | BaseScraper:_infer_shop_name_from_link:570 |  - No matching shop found for domain: nid.naver.com
2025-10-16 00:16:01 | INFO     | BaseScraper:_process_detail_pages:664 | Processing post_link: https://www.clien.net/service/board/jirum/19078311?od=T31&po=0&category=0&groupCd=
2025-10-16 00:16:01 | INFO     | BaseScraper:_process_detail_pages:667 | Processing deal: 251015 - 네이버 81원...
2025-10-16 00:16:03 | WARNING  | BaseScraper:_process_detail_pages:682 | 지정된 콘텐츠 선택자를 찾지 못했습니다. body 전체를 사용합니다: https://www.clien.net/service/board/jirum/19078311?od=T31&po=0&category=0&groupCd=
2025-10-16 00:16:09 | INFO     | BaseScraper:_process_detail_pages:704 |   [AI Multi-Deal Analysis] Found 13 deals.
2025-10-16 00:16:09 | INFO     | BaseScraper:_process_detail_pages:720 |   [Image Debug] Post Representative Image: https://edgio.clien.net/F94/10149595/8c72b5bd6c678d.gif
2025-10-16 00:16:09 | INFO     | BaseScraper:_process_detail_pages:727 |     [Deal 1] AI Product: 네이버페이 포인트 적립 이벤트 (251015)
2025-10-16 00:16:09 | INFO     | BaseScraper:_resolve_redirect:803 |    - [Redirect] 1. AI raw link: https://campaign2.naver.com/npay/v2/click-point/?eventId=cr_2025101501_2510_1204
2025-10-16 00:16:09 | INFO     | BaseScraper:_resolve_redirect:809 |    - [Redirect] 2. Decoded link: https://campaign2.naver.com/npay/v2/click-point/?eventId=cr_2025101501_2510_1204
2025-10-16 00:16:09 | INFO     | BaseScraper:_resolve_redirect:824 |    - [Redirect] 3. Final resolved URL: https://nid.naver.com/nidlogin.login?svctype=0&url=https%3A%2F%2Fcampaign2.naver.com%2Fnpay%2Fv2%2Fclick-point%2F%3FeventId%3Dcr_2025101501_2510_1204
2025-10-16 00:16:09 | INFO     | BaseScraper:_infer_shop_name_from_link:507 |  - Inferring shop name from domain: nid.naver.com
2025-10-16 00:16:09 | INFO     | BaseScraper:_infer_shop_name_from_link:570 |  - No matching shop found for domain: nid.naver.com
2025-10-16 00:16:09 | INFO     | BaseScraper:_process_detail_pages:727 |     [Deal 2] AI Product: 네이버페이 포인트 적립 이벤트 (251015)
2025-10-16 00:16:09 | INFO     | BaseScraper:_resolve_redirect:803 |    - [Redirect] 1. AI raw link: https://campaign2.naver.com/npay/v2/click-point/?eventId=cr_2025101502_2510_1149
2025-10-16 00:16:09 | INFO     | BaseScraper:_resolve_redirect:809 |    - [Redirect] 2. Decoded link: https://campaign2.naver.com/npay/v2/click-point/?eventId=cr_2025101502_2510_1149
2025-10-16 00:16:10 | INFO     | BaseScraper:_resolve_redirect:824 |    - [Redirect] 3. Final resolved URL: https://nid.naver.com/nidlogin.login?svctype=0&url=https%3A%2F%2Fcampaign2.naver.com%2Fnpay%2Fv2%2Fclick-point%2F%3FeventId%3Dcr_2025101502_2510_1149
2025-10-16 00:16:10 | INFO     | BaseScraper:_infer_shop_name_from_link:507 |  - Inferring shop name from domain: nid.naver.com
2025-10-16 00:16:10 | INFO     | BaseScraper:_infer_shop_name_from_link:570 |  - No matching shop found for domain: nid.naver.com
2025-10-16 00:16:10 | INFO     | BaseScraper:_process_detail_pages:727 |     [Deal 3] AI Product: 네이버페이 포인트 적립 이벤트 (251015)
